query	question	option_1	option_2	option_3	option_4	option_5	impression_level	engagement_level	option_cctr_1	option_cctr_2	option_cctr_3	option_cctr_4	option_cctr_5
10fastfingers typing test	Select one to refine your search	english	persian	thai	turkish	serbian	medium	0	0	0	0	0	0
10k training plan	Select one to refine your search	beginners	10k training plan intermediate	10k training plan advanced	novice		medium	6	1	0	0	0	0
10k training plan	Select one to refine your search	10k training plan intermediate	10k training plan advanced	10k training plan beginner			medium	0	0	0	0	0	0
10k training plan	Select one to refine your search	beginner 10k training plan	intermediate 10k training plan				low	0	0	0	0	0	0
12 gauge shotgun	Select one to refine your search	12 gauge fully automatic shotgun	single shot	12 gauge revolver shotgun			medium	0	0	0	0	0	0
12 gauge shotgun	Select one to refine your search	lever action	bolt action	single shot	pump action	muzzleloader	medium	0	0	0	0	0	0
12 gauge shotgun	Select one to refine your search	bolt action	lever action	single shot			high	2	0	1	0	0	0
12 gauge shotgun	Select one to refine your search	savage	browning	mossberg	winchester	cz	medium	0	0	0	0	0	0
1200 calorie diet	Select one to refine your search	for women	for men	for children	diet for seniors		low	0	0	0	0	0	0
1200 calorie diet	Select one to refine your search	for women	for men	1200 calorie diet for kids			medium	10	1	0	0	0	0
1200 calorie diet	Select one to refine your search	vegetarian diet	diabetic	low carb	dash diet diet	plan diet	low	0	0	0	0	0	0
123 free movies online	Select one to refine your search	horror movies	comedy movies	action movies	western movies	english movies	high	9	0.5	0	0.25	0.25	0
123 free movies online	Select one to refine your search	horror movies	comedy movies	western movies	drama movies		medium	0	0	0	0	0	0
123 free movies online	Select one to refine your search	western movies	123 free indian movies online	english movies			low	0	0	0	0	0	0
123 solitaire	Select one to refine your search	123 solitaire for windows 10	123 solitaire for windows 8				low	0	0	0	0	0	0
123 solitaire	Select one to refine your search	free for windows 10	free for windows 8				medium	0	0	0	0	0	0
123 solitaire	Select one to refine your search	123 spider solitaire	123 freecell solitaire	123 klondike solitaire	123 pyramid solitaire		high	3	0	1	0	0	0
123 watch free movies online	Select one to refine your search	123 watch free english movies online	action movies	comedy movies	horror movies	drama movies	low	0	0	0	0	0	0
123 watch free movies online	Select one to refine your search	english movies	drama movies	horror movies	action movies	comedy movies	low	0	0	0	0	0	0
123 watch free movies online	Select one to refine your search	english movies	horror movies	action movies	comedy movies	drama movies	low	10	0	0	1	0	0
123 watch free movies online	Select one to refine your search	english movies	123 watch free indian movies online				low	0	0	0	0	0	0
12v battery	Select one to refine your search	12v car battery	lead acid	agm	deep cycle	12v lithium ion battery	low	9	1	0	0	0	0
12v battery	Select one to refine your search	12v car battery	12v motorcycle battery	12v atv battery	12v truck battery	12v boat battery	low	0	0	0	0	0	0
12v battery	Select one to refine your search	12v lithium ion battery	12v rechargeable battery				high	0	0	0	0	0	0
13 going on 30	Select one to refine your search	cast	dvd				high	0	0	0	0	0	0
13 going on 30	Select one to refine your search	cast	trailer	quotes	songs	summary	high	3	1	0	0	0	0
13 going on 30	Select one to refine your search	cast	trailer	quotes	soundtrack	dvd	medium	0	0	0	0	0	0
13 inch laptop	Select one to refine your search	13 inch laptop case	13 inch laptop bag				high	0	0	0	0	0	0
13 inch laptop	Select one to refine your search	13 inch laptop windows 10	13 inch laptop windows 7				medium	0	0	0	0	0	0
13 inch laptop	Select one to refine your search	asus 13 inch laptop	lenovo 13 inch laptop	hp 13 inch laptop	dell 13 inch laptop	acer 13 inch laptop	medium	6	1	0	0	0	0
14 news	Select one to refine your search	14 weht news	14 kfox news				medium	0	0	0	0	0	0
14 news	Select one to refine your search	fox 14 news	abc 14 news	cbs 14 news	nbc 14 news		medium	5	0	0	0	1	0
14 news	Select one to refine your search	fox 14 news	abc 14 news	cbs 14 news	nbc 14 news	univision 14 news	medium	0	0	0	0	0	0
1440p wallpaper	Select one to refine your search	1440p desktop wallpaper	1440p anime wallpaper	1440p 3d wallpaper			medium	0	0	0	0	0	0
1440p wallpaper	Select one to refine your search	1440p desktop wallpaper	1440p anime wallpaper	1440p nature wallpaper	1440p 3d wallpaper		low	0	0	0	0	0	0
1440p wallpaper	Select one to refine your search	1440p desktop wallpaper	1440p mobile wallpaper				low	9	1	0	0	0	0
1440p wallpaper	Select one to refine your search	star wars	game of thrones	halo 1440p wallpaper	mass effect	final fantasy	medium	0	0	0	0	0	0
144hz monitor	Select one to refine your search	144hz monitor review	144hz monitor guide				medium	0	0	0	0	0	0
144hz monitor	Select one to refine your search	2k 144hz monitor	1080p 144hz monitor	4k 144hz monitor			medium	0	0	0	0	0	0
144hz monitor	Select one to refine your search	hp 144hz monitor	dell 144hz monitor	msi 144hz monitor	samsung 144hz monitor	asus 144hz monitor	high	0	0	0	0	0	0
144hz monitor	Select one to refine your search	hp 144hz monitor	dell 144hz monitor	asus 144hz monitor	asus 144hz monitor	acer 144hz monitor	medium	5	1	0	0	0	0
14k gold price	Select one to refine your search	14k gold gram price	14k gold pennyweight price	14k gold ounce price			low	10	1	0	0	0	0
14k gold price	Select one to refine your search	14k gold price calculator	14k gold price chart				medium	10	0.5	0.5	0	0	0
14k gold price	Select one to refine your search	mens 14k gold price	womens 14k gold price				low	9	1	0	0	0	0
17 laptop	Select one to refine your search	17 laptop review	17 laptop cases	17 laptop screen protector	17 laptop battery	17 laptop price	low	0	0	0	0	0	0
17 laptop	Select one to refine your search	dell	lenovo 17 laptop	acer 17 laptop	acer 17 laptop	asus 17 laptop	high	3	0	0	0	1	0
17 laptop	Select one to refine your search	dell inspiron 17 laptop	hp pavilion 17 laptop	lenovo 17 laptop	acer 17 laptop	apple 17 laptop	medium	0	0	0	0	0	0
17 laptop	Select one to refine your search	lenovo 17 laptop	hp pavilion 17 laptop	dell inspiron 17 laptop	apple 17 laptop	acer 17 laptop	medium	0	0	0	0	0	0
1800 calorie diet	Select one to refine your search	1800 calorie diet for men	1800 calorie diet for women				medium	5	0	1	0	0	0
1800 calorie diet	Select one to refine your search	1800 calorie diet for men	1800 calorie diet for women	1800 calorie diet for children			low	0	0	0	0	0	0
1800 calorie diet	Select one to refine your search	printable for men	printable for women				low	10	0	1	0	0	0
1800 calorie diet	Select one to refine your search	low carb diet	low sodium diet	high protein diet	diabetic diet	weight loss diet	medium	7	0	1	0	0	0
18th birthday ideas	Select one to refine your search	decoration ideas	party game ideas	party theme ideas	party food ideas	invitation ideas	low	0	0	0	0	0	0
18th birthday ideas	Select one to refine your search	18th birthday ideas for girls	18th birthday ideas for boys	18th birthday ideas for men			low	0	0	0	0	0	0
18th birthday ideas	Select one to refine your search	18th birthday ideas for girls	18th birthday ideas for guys				medium	10	0	1	0	0	0
18th birthday ideas	Select one to refine your search	birthday party	birthday boy	birthday hotel	birthday tattoo		low	0	0	0	0	0	0
1943 penny	Select one to refine your search	1943 aluminum penny	1943 stainless steel penny	1943 copper penny	1943 brass penny	1943 glass penny	medium	4	0	0	1	0	0
1943 penny	Select one to refine your search	1943 lead penny	1943 zinc penny	1943 bronze penny	1943 aluminum penny	1943 d silver penny	low	0	0	0	0	0	0
1943 penny	Select one to refine your search	1943 penny canada	1943 penny usa	1943 penny australia			low	0	0	0	0	0	0
1943 penny	Select one to refine your search	1943 s penny	1943 d wheat penny	1943 silver penny	1943 steel penny	1943 copper penny	low	9	0	0	1	0	0
1944 wheat penny value	Select one to refine your search	copper	bronze	steel	silver		low	0	0	0	0	0	0
1944 wheat penny value	Select one to refine your search	copper	steel				medium	0	0	0	0	0	0
1944 wheat penny value	Select one to refine your search	copper	steel	silver	bronze		low	9	0	1	0	0	0
1944 wheat penny value	Select one to refine your search	1944 wheat penny copper value	1944 wheat penny steel value	1944 wheat penny silver value			low	0	0	0	0	0	0
1953 chevrolet truck	Select one to refine your search	1953 chevrolet panel truck	1953 chevrolet pickup truck	1953 chevrolet flatbed truck			low	0	0	0	0	0	0
1953 chevrolet truck	Select one to refine your search	1953 chevrolet pickup truck	1953 chevrolet flatbed truck				low	0	0	0	0	0	0
1953 chevrolet truck	Select one to refine your search	1953 chevrolet pickup truck	1953 chevrolet panel truck	1953 chevrolet flatbed truck			medium	4	0	1	0	0	0
1953 chevrolet truck	Select one to refine your search	radiator	bell housing	grille	hood		low	0	0	0	0	0	0
1960s fashion	Select one to refine your search	1960s fashion facts	1960s fashion quotes	for sale			medium	0	0	0	0	0	0
1960s fashion	Select one to refine your search	1960s fashion for men	1960s fashion for women	1960s fashion for boys			low	0	0	0	0	0	0
1960s fashion	Select one to refine your search	1960s fashion for men	1960s fashion for women	1960s fashion for children	1960s fashion for boys		medium	3	0	1	0	0	0
1960s fashion	Select one to refine your search	1960s fashion for men	1960s fashion for women	1960s fashion for children	1960s fashion for teens		medium	0	0	0	0	0	0
1960s fashion	Select one to refine your search	1960s fashion for men	1960s fashion for women	for girls			high	7	0.333333333	0.666666667	0	0	0
1960s music	Select one to refine your search	1960s country music	1960s rock music	1960s pop music	1960s soul music	1960s surf music	high	3	0	0	0	1	0
1960s music	Select one to refine your search	1960s music article	1960s music essay				high	0	0	0	0	0	0
1960s music	Select one to refine your search	1960s music lyrics	1960s music genre	1960s music albums			high	3	0.333333333	0.333333333	0.333333333	0	0
1960s music	Select one to refine your search	1960s music rock	1960s music jazz	1960s music country			high	2	0	0	1	0	0
1964 corvette	Select one to refine your search	for sale	battery	1964 corvette facts			low	0	0	0	0	0	0
1964 corvette	Select one to refine your search	specs	for sale	battery	radio	fuel pump	medium	0	0	0	0	0	0
1964 corvette	Select one to refine your search	specs	1964 corvette for sale	radio	1964 corvette battery	fuel pump	low	9	1	0	0	0	0
1964 corvette	Select one to refine your search	price of 1964 corvette	battery for 1964 corvette				low	0	0	0	0	0	0
1964 impala	Select one to refine your search	1964 impala for sale	1964 impala facts	1964 impala battery			medium	5	0	1	0	0	0
1964 impala	Select one to refine your search	1964 impala for sale	1964 impala facts	1964 impala windows			low	0	0	0	0	0	0
1964 impala	Select one to refine your search	1964 impala ss	1964 impala ltz				medium	0	0	0	0	0	0
1965 corvette	Select one to refine your search	1965 corvette for sale	1965 corvette facts				low	9	1	0	0	0	0
1965 corvette	Select one to refine your search	specs	for sale	radio	battery	fuel pump	high	0	0	0	0	0	0
1965 corvette	Select one to refine your search	1965 corvette specs	1965 corvette manual	1965 corvette accessories	1965 corvette review		low	0	0	0	0	0	0
1967 chevelle	Select one to refine your search	1967 chevelle specs	1967 chevelle accessories				medium	0	0	0	0	0	0
1967 chevelle	Select one to refine your search	1967 chevelle ss	1967 chevelle malibu				high	3	0	1	0	0	0
1967 chevelle	Select one to refine your search	1967 chevelle ss	1967 chevelle malibu	1967 chevelle el camino			medium	0	0	0	0	0	0
1969 chevelle	Select one to refine your search	1969 chevelle for sale	1969 chevelle battery	1969 chevelle facts	1969 chevelle types		high	3	1	0	0	0	0
1969 chevelle	Select one to refine your search	1969 chevelle malibu	1969 chevelle ss	chevelle nova	chevelle camaro	chevelle el camino	medium	0	0	0	0	0	0
1969 chevelle	Select one to refine your search	1969 malibu chevelle	1969 ss chevelle				high	3	0	1	0	0	0
1970 cutlass	Select one to refine your search	nos convertible	nos coupe	nos wagon			low	0	0	0	0	0	0
1970 cutlass	Select one to refine your search	nos convertible	nos wagon				medium	5	0	1	0	0	0
1970 cutlass	Select one to refine your search	nos for sale	nos battery	nos facts			medium	0	0	0	0	0	0
1980s	Select one to refine your search	1980s books	1980s clothing	1980s toys	1980s posters		medium	0	0	0	0	0	0
1980s	Select one to refine your search	1980s tv shows	1980s movies				high	1	1	0	0	0	0
1980s	Select one to refine your search	1980s tv shows	1980s video games	1980s books	1980s movies		medium	4	1	0	0	0	0
1channel	Select one to refine your search	1channel movies	1channel tv				medium	0	0	0	0	0	0
1channel	Select one to refine your search	1channel tv shows	1channel movies				high	0	0	0	0	0	0
1channel	Select one to refine your search	rick and morty	star wars rebels	archer	family guy	south park	medium	6	0	0	1	0	0
1mobile market download	Select one to refine your search	pc	tablet	kindle	android	blackberry	medium	10	0	0.333333333	0.333333333	0.333333333	0
1mobile market download	Select one to refine your search	tablet	pc	kindle	android	blackberry	low	0	0	0	0	0	0
1mobile market download	Select one to refine your search	kindle	pc	tablet	android	blackberry	low	0	0	0	0	0	0
1mobile market download	Select one to refine your search	for tablet	download for pc	for kindle	for android	for blackberry	high	7	0.333333333	0	0.666666667	0	0
1mobile market download	Select one to refine your search	1mobile market tablet download	1mobile market pc download	1mobile market ios download			low	10	1	0	0	0	0
1st	Select one to refine your search	1st franklin	1st liberty	1st harrison	1st columbia	1st plymouth	high	0	0	0	0	0	0
1st	Select one to refine your search	baby 1st	kids 1st	women 1st	comfort 1st		medium	0	0	0	0	0	0
1st	Select one to refine your search	quality 1st	community 1st	family 1st	safety 1st	service 1st	medium	4	0	0	0	1	0
1st row sports	Select one to refine your search	basketball	1st row sports golf	1st row sports bar	1st row sports tennis		low	0	0	0	0	0	0
1st row sports	Select one to refine your search	1st row sports eu	1st row sports usa				medium	0	0	0	0	0	0
1st row sports	Select one to refine your search	sports football	boxing	basketball	sports ufc	baseball	low	8	1	0	0	0	0
2 live crew	Select one to refine your search	2 live crew songs	2 live crew members				medium	4	1	0	0	0	0
2 live crew	Select one to refine your search	2 live crew songs	2 live crew members	2 live crew tour	2 live crew merch		low	0	0	0	0	0	0
2 live crew	What would you like to know about this band?	2 live crew albums	2 live crew members	2 live crew lyrics	2 live crew tour		low	0	0	0	0	0	0
2 peter 1	Select one to refine your search	2 peter 1 kjv	2 peter 1 esv	2 peter 1 nlt	2 peter 1 nasb	2 peter 1 niv	high	0	0	0	0	0	0
2 peter 1	Select one to refine your search	2 peter 1 kjv	2 peter 1 nlt	2 peter 1 esv	2 peter 1 nasb	2 peter 1 niv	low	8	1	0	0	0	0
2 peter 1	Select one to refine your search	2 peter 1 kjv	2 peter 1 nlt	2 peter 1 esv	2 peter 1 niv	2 peter 1 nasb	medium	0	0	0	0	0	0
2 timothy 3	Select one to refine your search	2 timothy 3 kjv	2 timothy 3 esv	2 timothy 3 niv			low	0	0	0	0	0	0
2 timothy 3	Select one to refine your search	2 timothy 3 kjv	2 timothy 3 niv	2 timothy 3 esv			high	2	1	0	0	0	0
2 timothy 3	Select one to refine your search	2 timothy 3 kjv	2 timothy 3 niv	2 timothy 3 esv	2 timothy 3 nasb	2 timothy 3 nlt	medium	0	0	0	0	0	0
2 wheeler insurance	Select one to refine your search	bharti axa	hdfc	bajaj allianz	icici lombard		low	8	1	0	0	0	0
2 wheeler insurance	Select one to refine your search	bharti axa	hdfc	reliance	bajaj allianz	icici lombard	medium	7	0	0	0	1	0
2 wheeler insurance	Select one to refine your search	hdfc	reliance				medium	0	0	0	0	0	0
20 inch tires	Select one to refine your search	bf goodrich tires	goodyear tires	michelin tires	pirelli tires	toyo tires	low	0	0	0	0	0	0
20 inch tires	Select one to refine your search	20 inch bicycle tires	20 inch off road tires				medium	4	0	1	0	0	0
20 inch tires	Select one to refine your search	truck	golf cart tires	motorcycle	tractor	car tires	low	0	0	0	0	0	0
20 questions game	Select one to refine your search	for couples	for friends	for kids	for teens	for seniors	low	0	0	0	0	0	0
20 questions game	Select one to refine your search	for couples	for kids	for teens	for friends		low	8	0	0	1	0	0
20 questions game	Select one to refine your search	for couples	for teens	for friends	for kids	for seniors	medium	0	0	0	0	0	0
2000 toyota camry	Select one to refine your search	accessories	2000 toyota camry review	specs	manual		low	0	0	0	0	0	0
2000 toyota camry	Select one to refine your search	egr valve	engine	exhaust	hood	alternator	low	0	0	0	0	0	0
2000 toyota camry	Select one to refine your search	for sale	tires	2000 toyota camry review	specs	alternator	low	0	0	0	0	0	0
2000 toyota camry	Select one to refine your search	2000 toyota camry le	2000 toyota camry xle v6				medium	4	1	0	0	0	0
2001 kia rio	Select one to refine your search	clutch	fuel filter	alternator	engine	transmission	low	0	0	0	0	0	0
2001 kia rio	Select one to refine your search	specs	for sale	manual	alternator	transmission	high	0	0	0	0	0	0
2001 kia rio	Select one to refine your search	specs	manual	for sale	alternator	transmission	low	8	0	0	1	0	0
2005 honda odyssey	Select one to refine your search	2005 honda odyssey ex	2005 honda odyssey touring				medium	6	1	0	0	0	0
2005 honda odyssey	Select one to refine your search	2005 honda odyssey front bumper	2005 honda odyssey power steering hose	2005 honda odyssey rear bumper			low	0	0	0	0	0	0
2005 honda odyssey	Select one to refine your search	transmission	alternator	honda odyssey engine	power steering pump	honda odyssey timing belt	low	0	0	0	0	0	0
2005 lincoln town car	Select one to refine your search	for sale	specs	review	battery	manual	medium	0	0	0	0	0	0
2005 lincoln town car	Select one to refine your search	for sale	specs	review	manual	battery	medium	7	0	0	1	0	0
2005 lincoln town car	Select one to refine your search	reviews	specs	manual			low	0	0	0	0	0	0
2007 honda accord	Select one to refine your search	battery	2007 honda accord for sale	2007 honda accord facts	2007 honda accord lifespan		high	2	0	1	0	0	0
2007 honda accord	Select one to refine your search	battery	starter	honda accord alternator	honda accord air filter	honda accord headlight assembly	medium	0	0	0	0	0	0
2007 honda accord	Select one to refine your search	2007 honda accord interior	2007 honda accord exterior				low	0	0	0	0	0	0
2007 honda accord	Select one to refine your search	tires	review	specs	battery	manual	medium	0	0	0	0	0	0
2011 jeep grand cherokee	Select one to refine your search	2011 jeep grand cherokee limited	srt8	trailhawk			low	0	0	0	0	0	0
2011 jeep grand cherokee	Select one to refine your search	overland	srt8				medium	0	0	0	0	0	0
2011 jeep grand cherokee	Select one to refine your search	specs	manual	review	accessories		low	9	0	1	0	0	0
2015 honda civic	Select one to refine your search	coupe	2015 honda civic si	civic hybrid			high	2	0	1	0	0	0
2015 honda civic	Select one to refine your search	honda civic review	accessories	specs	manual	honda civic sale	low	0	0	0	0	0	0
2015 honda civic	Select one to refine your search	honda civic accessories	tires	specs	manual	honda civic sale	low	0	0	0	0	0	0
2019 dodge	Select one to refine your search	charger	durango	dakota	caravan		low	0	0	0	0	0	0
2019 dodge	Select one to refine your search	challenger	charger	hellcat			medium	0	0	0	0	0	0
2019 dodge	Select one to refine your search	challenger	charger	durango	caravan	dakota	medium	7	0	0	0	0	1
2019 dodge	Select one to refine your search	challenger	hellcat	charger			medium	0	0	0	0	0	0
2019 dodge	Select one to refine your search	charger	durango	caravan	dakota		medium	4	0	0	0	1	0
2019 dodge	Select one to refine your search	durango	ram 1500	challenger	charger	caravan	medium	6	0	1	0	0	0
2019 vw	Select one to refine your search	beetle	jetta				low	0	0	0	0	0	0
2019 vw	Select one to refine your search	golf gti	beetle convertible	jetta	tiguan	passat	medium	7	1	0	0	0	0
2019 vw	Select one to refine your search	jetta	beetle				medium	0	0	0	0	0	0
2019 vw	Select one to refine your search	jetta	passat	golf r	beetle	touareg	low	0	0	0	0	0	0
21st century skills	Select one to refine your search	learning skills	thinking skills	teaching skills	management skills	reading skills	medium	0	0	0	0	0	0
21st century skills	Select one to refine your search	learning skills	thinking skills	writing skills			high	2	1	0	0	0	0
21st century skills	Select one to refine your search	21st century skills for students	21st century skills for adults	21st century skills for teens			medium	0	0	0	0	0	0
22 inch led tv	Select one to refine your search	samsung	lg	sony	panasonic		low	0	0	0	0	0	0
22 inch led tv	Select one to refine your search	samsung	lg	sony	panasonic	vizio	low	0	0	0	0	0	0
22 inch led tv	Select one to refine your search	samsung	sony	coby 22 inch led tv			medium	5	1	0	0	0	0
22 inch led tv	Select one to refine your search	samsung	westinghouse	lg	emerson	sony	low	0	0	0	0	0	0
2k servers	Select one to refine your search	2k servers nba 2k14	2k servers nba 2k16				medium	0	0	0	0	0	0
2k servers	Select one to refine your search	nba 2k servers	nfl 2k servers				medium	4	1	0	0	0	0
2k servers	Select one to refine your search	nba 2k servers	wwe 2k servers	nfl 2k servers			medium	7	1	0	0	0	0
3 stone diamond ring	Select one to refine your search	3 stone diamond anniversary ring	3 stone diamond engagement ring				high	3	1	0	0	0	0
3 stone diamond ring	Select one to refine your search	3 stone diamond anniversary ring	3 stone diamond engagement ring	3 stone diamond platinum ring			low	0	0	0	0	0	0
3 stone diamond ring	Select one to refine your search	princess cut diamond	baguette diamond	cushion cut diamond	emerald cut diamond	marquise diamond	low	0	0	0	0	0	0
3 stone diamond ring	Select one to refine your search	princess cut diamond	cushion cut diamond	radiant cut diamond	pear shaped diamond		low	0	0	0	0	0	0
32 inch lcd tv	Select one to refine your search	philips	polaroid	samsung	lg	panasonic	low	9	0	0	1	0	0
32 inch lcd tv	Select one to refine your search	philips	samsung	lg	aoc	sony	medium	0	0	0	0	0	0
32 inch lcd tv	Select one to refine your search	samsung	toshiba	sharp	sony	proscan	low	0	0	0	0	0	0
3rd grade books online free	Select one to refine your search	reading	comprehension	vocabulary	spelling		medium	0	0	0	0	0	0
3rd grade books online free	Select one to refine your search	reading	math	english books	science		medium	6	1	0	0	0	0
3rd grade books online free	Select one to refine your search	reading	math	spanish books	english books	science	medium	0	0	0	0	0	0
48 laws of power	Select one to refine your search	48 laws of power pdf	48 laws of power mp3				high	5	0.666666667	0.333333333	0	0	0
48 laws of power	Select one to refine your search	48 laws of power pdf	48 laws of power mp3	48 laws of power on cd	itunes		medium	0	0	0	0	0	0
48 laws of power	Select one to refine your search	read	summary of the	quotes from	review on the		medium	0	0	0	0	0	0
5 gallon gas can	Select one to refine your search	5 gallon metal gas can	5 gallon plastic gas can				low	9	0	1	0	0	0
5 gallon gas can	Select one to refine your search	5 gallon metal gas can	5 gallon plastic gas can	5 gallon galvanized steel gas can			medium	0	0	0	0	0	0
5 gallon gas can	Select one to refine your search	metal 5 gallon gas can	plastic 5 gallon gas can				medium	6	1	0	0	0	0
50cc	Select one to refine your search	50cc mini bike	50cc motorcycles	50cc dirt bike	50cc atv	50cc electric scooter	low	0	0	0	0	0	0
50cc	Select one to refine your search	50cc motorcycle	50cc moped				medium	4	1	0	0	0	0
50cc	Select one to refine your search	50cc scooter	50cc atv	50cc dirt bike	50cc golf cart	50cc golf cart	low	0	0	0	0	0	0
50cc	Select one to refine your search	scooters 50cc	vespa 50cc	znen 50cc	kymco 50cc		low	0	0	0	0	0	0
50th birthday gift ideas	Select one to refine your search	for women	for men	gift ideas for kids			medium	7	0	1	0	0	0
50th birthday gift ideas	Select one to refine your search	50th birthday gift ideas men	for women				high	3	0	1	0	0	0
50th birthday gift ideas	Select one to refine your search	50th birthday gift ideas men	for women	from kids	for friends		low	0	0	0	0	0	0
60 inch smart tv	Select one to refine your search	lg	sharp	toshiba	sony	samsung	medium	0	0	0	0	0	0
60 inch smart tv	Select one to refine your search	lg	sony	toshiba	samsung	panasonic	low	0	0	0	0	0	0
60 inch smart tv	Select one to refine your search	lg	sony	toshiba	sharp	samsung	high	3	0	0	0	0	1
60 inch smart tv	Select one to refine your search	samsung	lg	sony	sharp	toshiba	low	0	0	0	0	0	0
64 bit java download	Select one to refine your search	64 bit java download windows 10	64 bit java download windows 7	64 bit java download windows 8			medium	5	1	0	0	0	0
64 bit java download	Select one to refine your search	windows 10	windows 7	for windows 8			medium	0	0	0	0	0	0
64 bit java download	Select one to refine your search	windows 10	64-bit java download windows 7	64-bit java download for windows 8	ios	tablet	medium	0	0	0	0	0	0
64 bit java download	Select one to refine your search	64-bit java download windows 10	64-bit java download windows 7	windows 8			medium	0	0	0	0	0	0
8 out of 10 cats	Select one to refine your search	8 out of 10 cats episodes	8 out of 10 cats cast	8 out of 10 cats cancelled			medium	0	0	0	0	0	0
8 out of 10 cats	Select one to refine your search	8 out of 10 cats episodes	8 out of 10 cats cast	8 out of 10 cats cancelled	8 out of 10 cats quotes		low	0	0	0	0	0	0
8 out of 10 cats	What do you want to know about the television series?	8 out of 10 cats does countdown	current rounds	dvd	8 out of 10 cats episodes		low	8	1	0	0	0	0
a bridge too far	Select one to refine your search	a bridge too far film	a bridge too far book				low	0	0	0	0	0	0
a bridge too far	Select one to refine your search	a bridge too far film	a bridge too far book	a bridge too far quotes	a bridge too far characters		medium	7	1	0	0	0	0
a bridge too far	Select one to refine your search	who wrote a bridge too far	characters in a bridge too far	review of a bridge too far			medium	0	0	0	0	0	0
a discovery of witches	Select one to refine your search	a discovery of witches movie	a discovery of witches tv				high	2	1	0	0	0	0
