query	question	option_1	option_2	option_3	option_4	option_5	Quality_Option1	Quality_Option2	Quality_Option3	Quality_Option4	Quality_Option5	OverallClarificationPaneQuality								
1964 corvette	Select one to refine your search	specs	for sale	battery	radio	fuel pump	4	5	3	3	4	4								
1964 corvette	Select one to refine your search	specs	1964 corvette for sale	radio	1964 corvette battery	fuel pump	4	5	2	4	2	3								
1964 corvette	Select one to refine your search	price of 1964 corvette	battery for 1964 corvette				4	4				3								
1964 impala	Select one to refine your search	1964 impala for sale	1964 impala facts	1964 impala battery			4	4	4			4								
1964 impala	Select one to refine your search	1964 impala for sale	1964 impala facts	1964 impala windows			5	5	3			4								
1964 impala	Select one to refine your search	1964 impala ss	1964 impala ltz				4	4				4								
1965 corvette	Select one to refine your search	1965 corvette for sale	1965 corvette facts				5	4				4								
1965 corvette	Select one to refine your search	specs	for sale	radio	battery	fuel pump	5	4	3	3	3	4								
1965 corvette	Select one to refine your search	1965 corvette specs	1965 corvette manual	1965 corvette accessories	1965 corvette review		5	5	5	5		5								
1967 chevelle	Select one to refine your search	1967 chevelle specs	1967 chevelle accessories				5	5				5								
1967 chevelle	Select one to refine your search	1967 chevelle ss	1967 chevelle malibu				5	4				4								
1967 chevelle	Select one to refine your search	1967 chevelle ss	1967 chevelle malibu	1967 chevelle el camino			5	3	3			4								
1969 chevelle	Select one to refine your search	1969 chevelle for sale	1969 chevelle battery	1969 chevelle facts	1969 chevelle types		4	3	5	5		4								
1969 chevelle	Select one to refine your search	1969 chevelle malibu	1969 chevelle ss	chevelle nova	chevelle camaro	chevelle el camino	5	5	4	5	5	4								
1969 chevelle	Select one to refine your search	1969 malibu chevelle	1969 ss chevelle				5	5				5								
1970 cutlass	Select one to refine your search	nos convertible	nos coupe	nos wagon			4	4	4			4								
1970 cutlass	Select one to refine your search	nos convertible	nos wagon				4	4				4								
1970 cutlass	Select one to refine your search	nos for sale	nos battery	nos facts			4	4	3			4								
1980s	Select one to refine your search	1980s books	1980s clothing	1980s toys	1980s posters		4	4	3	3		4								
1980s	Select one to refine your search	1980s tv shows	1980s movies				3	4				4								
1980s	Select one to refine your search	1980s tv shows	1980s video games	1980s books	1980s movies		4	4	3	4		4								
1channel	Select one to refine your search	1channel movies	1channel tv				4	5				4								
1channel	Select one to refine your search	1channel tv shows	1channel movies				4	4				4								
1channel	Select one to refine your search	rick and morty	star wars rebels	archer	family guy	south park	3	3	2	3	3	3								
1mobile market download	Select one to refine your search	pc	tablet	kindle	android	blackberry	3	5	3	5	3	4								
1mobile market download	Select one to refine your search	tablet	pc	kindle	android	blackberry	4	5	4	5	4	4								
1mobile market download	Select one to refine your search	kindle	pc	tablet	android	blackberry	5	5	5	5	5	5								
1mobile market download	Select one to refine your search	for tablet	download for pc	for kindle	for android	for blackberry	4	4	3	5	5	4								
1mobile market download	Select one to refine your search	1mobile market tablet download	1mobile market pc download	1mobile market ios download			3	2	4			4								
1st	Select one to refine your search	1st franklin	1st liberty	1st harrison	1st columbia	1st plymouth	3	3	3	3	3	3								
1st	Select one to refine your search	baby 1st	kids 1st	women 1st	comfort 1st		3	5	3	3		2								
1st	Select one to refine your search	quality 1st	community 1st	family 1st	safety 1st	service 1st	4	4	3	4	4	4								
1st row sports	Select one to refine your search	basketball	1st row sports golf	1st row sports bar	1st row sports tennis		3	4	3	4		4								
1st row sports	Select one to refine your search	1st row sports eu	1st row sports usa				5	5				5								
1st row sports	Select one to refine your search	sports football	boxing	basketball	sports ufc	baseball	4	4	4	4	4	4								
2 live crew	Select one to refine your search	2 live crew songs	2 live crew members				5	5				4								
2 live crew	Select one to refine your search	2 live crew songs	2 live crew members	2 live crew tour	2 live crew merch		5	5	4	4		5								
2 live crew	What would you like to know about this band?	2 live crew albums	2 live crew members	2 live crew lyrics	2 live crew tour		5	5	5	5		5								
2 peter 1	Select one to refine your search	2 peter 1 kjv	2 peter 1 esv	2 peter 1 nlt	2 peter 1 nasb	2 peter 1 niv	5	3	5	3	5	5								
2 peter 1	Select one to refine your search	2 peter 1 kjv	2 peter 1 nlt	2 peter 1 esv	2 peter 1 nasb	2 peter 1 niv	4	4	5	3	4	4								
2 peter 1	Select one to refine your search	2 peter 1 kjv	2 peter 1 nlt	2 peter 1 esv	2 peter 1 niv	2 peter 1 nasb	5	5	5	5	3	5								
2 timothy 3	Select one to refine your search	2 timothy 3 kjv	2 timothy 3 esv	2 timothy 3 niv			5	5	5			4								
2 timothy 3	Select one to refine your search	2 timothy 3 kjv	2 timothy 3 niv	2 timothy 3 esv			5	4	4			5								
2 timothy 3	Select one to refine your search	2 timothy 3 kjv	2 timothy 3 niv	2 timothy 3 esv	2 timothy 3 nasb	2 timothy 3 nlt	4	4	4	4	3	4								
2 wheeler insurance	Select one to refine your search	bharti axa	hdfc	bajaj allianz	icici lombard		1	1	1	1		1								
2 wheeler insurance	Select one to refine your search	bharti axa	hdfc	reliance	bajaj allianz	icici lombard	1	1	5	1	1	1								
2 wheeler insurance	Select one to refine your search	hdfc	reliance				3	3				3								
20 inch tires	Select one to refine your search	bf goodrich tires	goodyear tires	michelin tires	pirelli tires	toyo tires	5	5	5	5	5	5								
20 inch tires	Select one to refine your search	20 inch bicycle tires	20 inch off road tires				4	4				4								
20 inch tires	Select one to refine your search	truck	golf cart tires	motorcycle	tractor	car tires	5	2	4	3	5	4								
20 questions game	Select one to refine your search	for couples	for friends	for kids	for teens	for seniors	5	5	5	5	5	5								
20 questions game	Select one to refine your search	for couples	for kids	for teens	for friends		4	4	3	3		4								
20 questions game	Select one to refine your search	for couples	for teens	for friends	for kids	for seniors	5	5	5	5	5	5								
2000 toyota camry	Select one to refine your search	accessories	2000 toyota camry review	specs	manual		4	3	4	2		4								
2000 toyota camry	Select one to refine your search	egr valve	engine	exhaust	hood	alternator	3	4	4	3	4	4								
2000 toyota camry	Select one to refine your search	for sale	tires	2000 toyota camry review	specs	alternator	4	4	4	4	3	4								
2000 toyota camry	Select one to refine your search	2000 toyota camry le	2000 toyota camry xle v6				4	4				4								
2001 kia rio	Select one to refine your search	clutch	fuel filter	alternator	engine	transmission	3	4	4	4	4	4								
2001 kia rio	Select one to refine your search	specs	for sale	manual	alternator	transmission	5	4	4	3	3	4								
2001 kia rio	Select one to refine your search	specs	manual	for sale	alternator	transmission	5	5	5	4	4	4								
2005 honda odyssey	Select one to refine your search	2005 honda odyssey ex	2005 honda odyssey touring				2	2				2								
2005 honda odyssey	Select one to refine your search	2005 honda odyssey front bumper	2005 honda odyssey power steering hose	2005 honda odyssey rear bumper			3	3	3			3								
2005 honda odyssey	Select one to refine your search	transmission	alternator	honda odyssey engine	power steering pump	honda odyssey timing belt	4	4	5	4	4	4								
2005 lincoln town car	Select one to refine your search	for sale	specs	review	battery	manual	5	5	5	3	5	5								
2005 lincoln town car	Select one to refine your search	for sale	specs	review	manual	battery	5	5	5	3	4	4								
2005 lincoln town car	Select one to refine your search	reviews	specs	manual			4	4	4			4								
2007 honda accord	Select one to refine your search	battery	2007 honda accord for sale	2007 honda accord facts	2007 honda accord lifespan		2	4	5	4		4								
2007 honda accord	Select one to refine your search	battery	starter	honda accord alternator	honda accord air filter	honda accord headlight assembly	4	3	3	4	3	3								
2007 honda accord	Select one to refine your search	2007 honda accord interior	2007 honda accord exterior				3	5				5								
2007 honda accord	Select one to refine your search	tires	review	specs	battery	manual	3	5	5	3	4	3								
2011 jeep grand cherokee	Select one to refine your search	2011 jeep grand cherokee limited	srt8	trailhawk			5	4	4			4								
2011 jeep grand cherokee	Select one to refine your search	overland	srt8				5	3				3								
2011 jeep grand cherokee	Select one to refine your search	specs	manual	review	accessories		4	3	4	4		5								
2015 honda civic	Select one to refine your search	coupe	2015 honda civic si	civic hybrid			4	5	4			4								
2015 honda civic	Select one to refine your search	honda civic review	accessories	specs	manual	honda civic sale	5	4	4	4	4	5								
2015 honda civic	Select one to refine your search	honda civic accessories	tires	specs	manual	honda civic sale	5	3	5	5	5	5								
2019 dodge	Select one to refine your search	charger	durango	dakota	caravan		4	4	4	4		4								
2019 dodge	Select one to refine your search	challenger	charger	hellcat			4	4	3			4								
2019 dodge	Select one to refine your search	challenger	charger	durango	caravan	dakota	4	4	4	4	4	4								
2019 dodge	Select one to refine your search	challenger	hellcat	charger			5	5	3			4								
2019 dodge	Select one to refine your search	charger	durango	caravan	dakota		5	5	5	5		5								
2019 dodge	Select one to refine your search	durango	ram 1500	challenger	charger	caravan	5	4	5	5	4	4								
2019 vw	Select one to refine your search	beetle	jetta				4	4				4								
2019 vw	Select one to refine your search	golf gti	beetle convertible	jetta	tiguan	passat	3	5	4	3	3	4								
2019 vw	Select one to refine your search	jetta	beetle				5	3				3								
2019 vw	Select one to refine your search	jetta	passat	golf r	beetle	touareg	5	5	5	5	5	5								
21st century skills	Select one to refine your search	learning skills	thinking skills	teaching skills	management skills	reading skills	5	5	4	5	5	4								
21st century skills	Select one to refine your search	learning skills	thinking skills	writing skills			3	3	3			2								
21st century skills	Select one to refine your search	21st century skills for students	21st century skills for adults	21st century skills for teens			4	5	3			5								
22 inch led tv	Select one to refine your search	samsung	lg	sony	panasonic		5	5	5	5		4								
22 inch led tv	Select one to refine your search	samsung	lg	sony	panasonic	vizio	4	4	4	2	4	4								
22 inch led tv	Select one to refine your search	samsung	sony	coby 22 inch led tv			4	4	3			4								
22 inch led tv	Select one to refine your search	samsung	westinghouse	lg	emerson	sony	5	5	5	5	5	5								
2k servers	Select one to refine your search	2k servers nba 2k14	2k servers nba 2k16				5	4				4								
2k servers	Select one to refine your search	nba 2k servers	nfl 2k servers				4	4				4								
2k servers	Select one to refine your search	nba 2k servers	wwe 2k servers	nfl 2k servers			4	4	4			4								
3 stone diamond ring	Select one to refine your search	3 stone diamond anniversary ring	3 stone diamond engagement ring				5	5				5								
3 stone diamond ring	Select one to refine your search	3 stone diamond anniversary ring	3 stone diamond engagement ring	3 stone diamond platinum ring			5	5	5			5								
3 stone diamond ring	Select one to refine your search	princess cut diamond	baguette diamond	cushion cut diamond	emerald cut diamond	marquise diamond	4	4	5	5	3	5								
3 stone diamond ring	Select one to refine your search	princess cut diamond	cushion cut diamond	radiant cut diamond	pear shaped diamond		4	4	4	4		4								
32 inch lcd tv	Select one to refine your search	philips	polaroid	samsung	lg	panasonic	3	2	5	5	3	3								
32 inch lcd tv	Select one to refine your search	philips	samsung	lg	aoc	sony	4	4	4	2	4	4								
32 inch lcd tv	Select one to refine your search	samsung	toshiba	sharp	sony	proscan	5	5	4	5	4	4								
3rd grade books online free	Select one to refine your search	reading	comprehension	vocabulary	spelling		5	4	5	5		5								
3rd grade books online free	Select one to refine your search	reading	math	english books	science		5	5	5	5		5								
3rd grade books online free	Select one to refine your search	reading	math	spanish books	english books	science	5	3	5	5	5	5								
48 laws of power	Select one to refine your search	48 laws of power pdf	48 laws of power mp3				3	3				4								
48 laws of power	Select one to refine your search	48 laws of power pdf	48 laws of power mp3	48 laws of power on cd	itunes		5	4	3	2		4								
48 laws of power	Select one to refine your search	read	summary of the	quotes from	review on the		2	3	3	4		4								
5 gallon gas can	Select one to refine your search	5 gallon metal gas can	5 gallon plastic gas can				5	5				5								
5 gallon gas can	Select one to refine your search	5 gallon metal gas can	5 gallon plastic gas can	5 gallon galvanized steel gas can			5	4	5			4								
5 gallon gas can	Select one to refine your search	metal 5 gallon gas can	plastic 5 gallon gas can				5	5				4								
50cc	Select one to refine your search	50cc mini bike	50cc motorcycles	50cc dirt bike	50cc atv	50cc electric scooter	5	4	4	4	4	5								
50cc	Select one to refine your search	50cc motorcycle	50cc moped				3	3				4								
50cc	Select one to refine your search	50cc scooter	50cc atv	50cc dirt bike	50cc golf cart	50cc golf cart	5	5	5	4	4	4								
50cc	Select one to refine your search	scooters 50cc	vespa 50cc	znen 50cc	kymco 50cc		3	4	3	4		4								
50th birthday gift ideas	Select one to refine your search	for women	for men	gift ideas for kids			4	4	5			4								
50th birthday gift ideas	Select one to refine your search	50th birthday gift ideas men	for women				4	3				4								
50th birthday gift ideas	Select one to refine your search	50th birthday gift ideas men	for women	from kids	for friends		5	5	4	5		5								
60 inch smart tv	Select one to refine your search	lg	sharp	toshiba	sony	samsung	4	4	4	4	5	4								
60 inch smart tv	Select one to refine your search	lg	sony	toshiba	samsung	panasonic	4	4	3	5	4	4								
60 inch smart tv	Select one to refine your search	lg	sony	toshiba	sharp	samsung	4	4	4	4	4	4								
60 inch smart tv	Select one to refine your search	samsung	lg	sony	sharp	toshiba	5	5	5	3	5	5								
64 bit java download	Select one to refine your search	64 bit java download windows 10	64 bit java download windows 7	64 bit java download windows 8			5	5	5			4								
64 bit java download	Select one to refine your search	windows 10	windows 7	for windows 8			5	3	3			3								
64 bit java download	Select one to refine your search	windows 10	64-bit java download windows 7	64-bit java download for windows 8	ios	tablet	3	5	5	3	2	4								
64 bit java download	Select one to refine your search	64-bit java download windows 10	64-bit java download windows 7	windows 8			5	5	2			4								
8 out of 10 cats	Select one to refine your search	8 out of 10 cats episodes	8 out of 10 cats cast	8 out of 10 cats cancelled			5	4	4			5								
8 out of 10 cats	Select one to refine your search	8 out of 10 cats episodes	8 out of 10 cats cast	8 out of 10 cats cancelled	8 out of 10 cats quotes		5	5	3	4		5								
8 out of 10 cats	What do you want to know about the television series?	8 out of 10 cats does countdown	current rounds	dvd	8 out of 10 cats episodes		4	3	4	5		4								
a bridge too far	Select one to refine your search	a bridge too far film	a bridge too far book				5	4				4								
a bridge too far	Select one to refine your search	a bridge too far film	a bridge too far book	a bridge too far quotes	a bridge too far characters		4	4	5	3		4								
a bridge too far	Select one to refine your search	who wrote a bridge too far	characters in a bridge too far	review of a bridge too far			5	5	5			4								
a discovery of witches	Select one to refine your search	a discovery of witches movie	a discovery of witches tv				5	5				5								
a discovery of witches	Select one to refine your search	trailer	cast	review	summary	quotes	5	5	5	5	3	5								
a discovery of witches	Select one to refine your search	a discovery of witches tv	a discovery of witches books				5	4				4								
a farewell to arms	Select one to refine your search	summary	characters	audiobook	quotes	review	5	3	4	4	4	4								
a farewell to arms	Select one to refine your search	summary	themes	characters	audiobook	quotes	4	5	4	4	5	4								
a farewell to arms	Select one to refine your search	who wrote	summary of	quotes from	themes in	characters in	5	5	4	4	4	4								
a farewell to arms	What would you like to know about a farewell to arms?	summary	quotes	characters	themes		5	5	5	5		5								
a flying jatt full movie	Select one to refine your search	1080p	hd				4	3				3								
a flying jatt full movie	What resolution are you looking for?	a flying jatt full movie 1080p	a flying jatt full movie hd				3	4				4								
a flying jatt full movie	What resolution are you looking for?	a flying jatt full movie hd	a flying jatt full movie 1080p				4	3				4								
a man called ove	Select one to refine your search	a man called ove movie	book				5	2				4								
a man called ove	Select one to refine your search	a man called ove review	characters	quotes	book	audiobook	5	5	5	5	5	5								
a man called ove	Select one to refine your search	a man called ove review	summary	cast	trailer	quotes	5	4	4	5	4	4								
a million little pieces	Select one to refine your search	a million little pieces book	quotes	review	a million little pieces sparknotes	audiobook	5	4	4	4	4	4								
a million little pieces	Select one to refine your search	a million little pieces book	trailer	quotes	review	a million little pieces sparknotes	5	3	3	3	4	4								
a million little pieces	Select one to refine your search	a million little pieces book	trailer	quotes	a million little pieces sparknotes	review	5	4	3	5	4	4								
a million little pieces	Select one to refine your search	trailer	quotes	review	summary	audiobook	4	4	5	5	3	4								
a million little things	Select one to refine your search	a million little things cast	a million little things trailer	review	episodes	soundtrack	5	5	3	5	4	5								
a million little things	Select one to refine your search	a million little things cast	a million little things trailer	review	summary		4	5	3	3		5								
a million little things	Select one to refine your search	a million little things cast	a million little things trailer	a million little things synopsis			5	5	5			4								
a70	Select one to refine your search	lenovo a70	toshiba a70	corsair a70			2	2	2			2								
a70	Select one to refine your search	samsung a70	canon a70	lenovo a70	toshiba a70	sony a70	5	4	4	4	4	4								
a70	Select one to refine your search	samsung a70	lenovo a70	toshiba a70	sony a70	lg a70	5	5	5	5	5	5								
